INSERT [dbo].[Kategoria] ([Id_Kategoria],[nazwa]) VALUES (1,'PC'), (2,'laptop'), (3,'MAC')
INSERT [dbo].[Podkategoria] ([Id_Podkategoria],[Id_Kategoria],[nazwa]) VALUES (1,1,'biurowy'), (2,2,'budzetowy'), (3,3,'dla graczy')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (0,'Kielce','Powstanców','1')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (1,'Szczecin','Skargi','40')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (2,'Szczecin','Wolnośći','130')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (3,'Radom','Wolnośći','51')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (4,'Szczecin','Solidarności','52')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (5,'Katowice','Solidarności','164')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (6,'Łódź','Wolnośći','57')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (7,'Szczecin','Kościuszki','155')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (8,'Rzeszów','Skargi','131')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (9,'Warszawa','Solidarności','35')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (10,'Szczecin','Sienkiewicza','130')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (11,'Rzeszów','Powstanców','165')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (12,'Kielce','Mickiewicza','202')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (13,'Gdańsk','Sienkiewicza','111')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (14,'Radom','Sobieskiego','68')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (15,'Kielce','Sienkiewicza','81')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (16,'Wrocław','Bohaterów','54')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (17,'Kielce','Powstanców','232')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (18,'Wrocław','Kościuszki','137')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (19,'Radom','Wyszyńskiego','240')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (20,'Olsztyn','Skargi','216')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (21,'Radom','Bohaterów','99')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (22,'Poznań','Wyszyńskiego','183')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (23,'Szczecin','Sobieskiego','153')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (24,'Wrocław','Wyszyńskiego','99')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (25,'Rzeszów','Sienkiewicza','15')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (26,'Radom','Wyszyńskiego','111')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (27,'Łódź','Sienkiewicza','211')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (28,'Kielce','Wolnośći','52')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (29,'Olsztyn','Powstanców','128')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (30,'Kraków','Wolnośći','59')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (31,'Wrocław','Wyszyńskiego','164')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (32,'Szczecin','Powstanców','119')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (33,'Wrocław','Sobieskiego','73')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (34,'Olsztyn','Sobieskiego','137')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (35,'Olsztyn','Sienkiewicza','38')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (36,'Szczecin','Mickiewicza','63')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (37,'Gdańsk','Mickiewicza','7')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (38,'Szczecin','Kościuszki','84')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (39,'Warszawa','Skargi','76')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (40,'Łódź','Sienkiewicza','219')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (41,'Łódź','Kościuszki','173')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (42,'Radom','Mickiewicza','247')
INSERT [dbo].[Adres] ([Id_Adres],[miasto],[ulica],[numer_domu]) VALUES (43,'Poznań','Piłsudzkiego','53')
