Adam;Adamczyk;pelne;575921;7783
Barbara;Kowalczyk;pelne;908322;5392
Cecylia;Mazur;pelne;858689;9380
Dariusz;Babiarz;pelne;948653;3247
Edward;Stepien;pelne;677898;5588
Franciszek;Baran;pelne;987046;9974
Henryk;Adamiak;pelne;844706;6537
Ireneusz;Wójcik;pelne;786822;5322
Janusz;Krawczyk;pelne;802976;3244
Katarzyna;Zajac;pelne;845768;6961
Leopold;Dudek;pelne;685443;6564
Marek;Pietrzak;pelne;522191;6319
Aleksandra;Nowak;pelne;768499;3370
Patrycja;Wozniak;pelne;657737;3255
Robert;Kaczmarek;pelne;643384;6902
Stefan;Wieczorek;pelne;699839;6537
Tomasz;Walczak;pelne;757294;8771
Zenon;Adamczyk;pelne;710388;9799
